true,pred,count,examples
unknown,right,1487,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\0685264e_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\10627519_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\14df1e28_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\16db1582_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\17c94b23_nohash_0.wav']"
unknown,stop,1114,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\18a1aab9_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\20d3f11f_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\62605293_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\62605293_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\850e2222_nohash_1.wav']"
unknown,left,893,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\012c8314_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\01648c51_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\01648c51_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\02746d24_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\0c2d2ffa_nohash_0.wav']"
unknown,on,629,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\126a31d2_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1887fe04_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1890e5c3_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1a073312_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1a5b9ca4_nohash_0.wav']"
unknown,down,434,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\0227998e_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\9d4bab4f_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\ee07dcb9_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\24c9f572_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\520b2c17_nohash_1.wav']"
