true,pred,count,examples
unknown,right,298,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\012c8314_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\01648c51_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\0c2d2ffa_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\0c2d2ffa_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\105a0eea_nohash_0.wav']"
unknown,stop,240,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\105e72bb_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\18a1aab9_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1c3f50ad_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\2dcb6848_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\3aa6f4e2_nohash_0.wav']"
down,unknown,236,"['F:/Audio_classification/data/raw/train/train/audio\\down\\02746d24_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\0ab3b47d_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\0ab3b47d_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\0e5193e6_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\0e5193e6_nohash_1.wav']"
unknown,up,194,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\1a5b9ca4_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\605ed0ff_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\62605293_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\62605293_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\78622c2b_nohash_0.wav']"
left,right,143,"['F:/Audio_classification/data/raw/train/train/audio\\left\\012c8314_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\left\\01648c51_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\left\\0227998e_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\left\\0685264e_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\left\\0e5193e6_nohash_0.wav']"
