true,pred,count,examples
unknown,on,520,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\10627519_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\161fcca8_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\161fcca8_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\187af8be_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1890e5c3_nohash_0.wav']"
unknown,up,278,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\18a1aab9_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\2dcb6848_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\2dcb6848_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\333784b7_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\3aa6f4e2_nohash_0.wav']"
go,unknown,95,"['F:/Audio_classification/data/raw/train/train/audio\\go\\0e5193e6_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\go\\129c7d8d_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\go\\171b56dc_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\go\\171b56dc_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\go\\17c94b23_nohash_0.wav']"
no,unknown,77,"['F:/Audio_classification/data/raw/train/train/audio\\no\\0ab3b47d_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\no\\0e5193e6_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\no\\161fcca8_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\no\\173ce2be_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\no\\17c94b23_nohash_1.wav']"
down,unknown,76,"['F:/Audio_classification/data/raw/train/train/audio\\down\\0e5193e6_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\126a31d2_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\129c7d8d_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\129c7d8d_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\down\\171b56dc_nohash_0.wav']"
