true,pred,count,examples
unknown,go,224,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\012c8314_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\173ae793_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\18a1aab9_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\37e8db82_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\3aa6f4e2_nohash_0.wav']"
unknown,yes,202,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\1625acd8_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\ca58a8c6_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\cc71bada_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\264f471d_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\6c0f6493_nohash_0.wav']"
unknown,right,156,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\01648c51_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\01648c51_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\14df1e28_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\17cc40ee_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1a073312_nohash_1.wav']"
unknown,down,154,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\462e1919_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\9d4bab4f_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\cc3d1613_nohash_2.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\d4d898d7_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\cat\\cc3d1613_nohash_3.wav']"
unknown,up,142,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\3bfd30e6_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\605ed0ff_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\62605293_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\981e2a16_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\981e2a16_nohash_1.wav']"
