true,pred,count,examples
unknown,no,220,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\4ca37738_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\5b1db3ee_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\5b1db3ee_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\5b1db3ee_nohash_3.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\5c39594f_nohash_0.wav']"
unknown,up,207,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\012c8314_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\012c8314_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\0c2d2ffa_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\161fcca8_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\1bb6ed89_nohash_1.wav']"
unknown,right,135,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\01648c51_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\712e4d58_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\563aa4e6_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\56f78b7e_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\56f78b7e_nohash_1.wav']"
unknown,go,81,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\173ae793_nohash_1.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\5f1b1051_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\611d2b50_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\66a412a7_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bed\\ab00c4b2_nohash_0.wav']"
unknown,on,42,"['F:/Audio_classification/data/raw/train/train/audio\\bed\\d107dc42_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\afabfa0e_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\b8872c20_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\e14d3db8_nohash_0.wav', 'F:/Audio_classification/data/raw/train/train/audio\\bird\\e14d3db8_nohash_2.wav']"
